"","X","No.","Latitude","Longitude","Ground.","Fish.","Ledge","Notes","point.ID","poly.ID","f","ID","GB.SW_250mBathy","optional"
"1",1,1,-34.0849666666667,114.928,"","","","",1,1,"In",1,-44,TRUE
"2",2,2,-34.0695666666667,114.918466666667,"","","","",2,1,"In",2,-47,TRUE
"3",3,4,-34.0547333333333,114.9111,"","","","",3,1,"In",3,-46,TRUE
"4",4,5,-34.06605,114.84,"","","","",4,1,"In",4,-44,TRUE
"6",6,7,-34.0543666666667,114.839066666667,"","","","",6,1,"In",5,-44,TRUE
"7",7,8,-34.0924,114.866366666667,"yes","no","","",7,1,"In",6,-42,TRUE
"9",9,10,-34.0668666666667,114.793983333333,"","","","",8,1,"In",7,-56,TRUE
"10",10,11,-34.06155,114.775366666667,"","","yes","Ledge running north-south",9,1,"In",8,-62,TRUE
"12",12,13,-34.1387166666667,114.736083333333,"","yes","","",10,1,"In",9,-127,TRUE
"16",16,17,-34.1130166666667,114.725133333333,"","yes","","",11,1,"In",10,-127,TRUE
"18",18,19,-34.0971833333333,114.734483333333,"","no ","","",12,1,"In",11,-121,TRUE
"19",19,20,-34.0984,114.75005,"","no ","","",13,1,"In",12,-113,TRUE
"20",20,21,-34.0883333333333,114.7545,"","yes","","",14,1,"In",13,-106,TRUE
"21",21,22,-34.0648166666667,114.726633333333,"","yes","","",15,1,"In",14,-119,TRUE
"24",24,25,-34.0844,114.6744,"","no ","","",16,1,"In",15,-138,TRUE
"25",25,26,-34.1026166666667,114.640716666667,"","yes","","",17,1,"In",16,-142,TRUE
"30",30,31,-34.1334,114.480516666667,"","no ","","",19,1,"In",17,-229,TRUE
"35",35,36,-34.0958166666667,114.47515,"","yes","","",20,1,"In",18,-240,TRUE
"36",36,37,-34.0724666666667,114.47755,"","yes","","",21,1,"In",19,-232,TRUE
"38",38,39,-34.1430333333333,114.537783333333,"","no ","","Outside marine park",22,1,"In",20,-174,TRUE
"39",39,40,-34.0146166666667,114.8785,"","yes","","limp w multi beam - flat coral",23,2,"Out",21,-42,TRUE
"40",40,41,-34.0124166666667,114.891,"","yes","","",24,2,"Out",22,-42,TRUE
"45",45,46,-33.9723166666667,114.92245,"","no ","","",26,2,"Out",23,-47,TRUE
"47",47,48,-34.0053666666667,114.820233333333,"","yes","","1 km radius around here, could be 33",27,2,"Out",24,-43,TRUE
"48",48,49,-33.9935666666667,114.821366666667,"","","","",28,2,"Out",25,-44,TRUE
"49",49,50,-34.0294666666667,114.762383333333,"","","","around 60 m depth ledge around 5 miles long",29,2,"Out",26,-73,TRUE
"50",50,51,-34.00425,114.689283333333,"","no ","","around 130 m mark, used to be lots of fish",30,2,"Out",27,-131,TRUE
"51",51,52,-33.9930333333333,114.69705,"","no ","","used to be lots of fish",31,2,"Out",28,-127,TRUE
"52",52,53,-33.97435,114.693066666667,"","no ","","used to be lots of fish",32,2,"Out",29,-128,TRUE
"53",53,54,-33.99175,114.7443,"yes","","","contunuation of ledge from coordinates 40-45",33,2,"Out",30,-84,TRUE
"54",54,55,-33.9983666666667,114.6406,"","no","","used to be lots of fish",34,2,"Out",31,-142,TRUE
"55",55,56,-34.0310333333333,114.6001,"","no","","used to be lots of fish",35,2,"Out",32,-143,TRUE
"56",56,57,-34.0327333333333,114.543883333333,"","no","","used to be lots of fish, then keep heading out to deep areas, the next spots are around 230-260 m",36,2,"Out",33,-147,TRUE
"57",57,58,-34.0481833333333,114.468083333333,"","yes","","",37,2,"Out",34,-254,TRUE
"58",58,59,-34.0250833333333,114.465683333333,"","no","","used to be lots of fish",38,2,"Out",35,-255,TRUE
